district,river,season,rainfall_mm,temperature_c,water_level_m,soil_saturation,urbanization_index,day_of_year,flood_event
District_7,River_5,Monsoon,167.0067360525216,24.75489718789898,9.681732555336104,0.46829796729066386,0.7152139779805667,84,0
District_20,River_1,Summer,132.61776878233587,33.90372128748852,4.758870204926735,0.1462796745206888,0.9440818583757814,177,0
District_15,River_2,Winter,89.97388541295794,24.043167380759385,5.891146767447563,0.10661253859556374,0.41550222170619466,248,0
District_11,River_2,Monsoon,84.82845444141172,37.74254112404782,2.541488790970857,0.7567406575295275,0.46134922897332875,186,0
District_8,River_4,Monsoon,99.2019622424838,26.26002082538003,-6.731341233318099,0.02330167122277016,0.18361693657346045,322,0
District_7,River_2,Monsoon,108.59013398361269,27.89504356330912,7.303571699036213,0.3854841807630268,0.3761056303632574,281,0
District_19,River_2,Summer,51.51918176599838,41.372531490977856,1.0165016426145446,0.3960344145352248,0.5291228381359574,359,0
District_11,River_5,Winter,169.3323449829765,35.8848383714217,6.2974071946405905,0.8930413433249044,0.2295896170464108,342,1
District_11,River_1,Summer,73.4054861411906,21.676011471990943,-0.6753821343794337,0.77449110109525,0.02613985664825136,204,0
District_4,River_3,Summer,214.00478849777392,36.26440014595828,6.012602737878995,0.510676730727234,0.25778842562093973,238,0
District_8,River_1,Pre-monsoon,143.92950515220596,33.07812427281511,0.6652805334337097,0.4798129869354979,0.6825739704682092,140,0
District_3,River_4,Monsoon,94.70806892861378,28.5521780704936,9.38672326465952,0.5656012996559333,0.8582572471935613,176,1
District_2,River_1,Monsoon,143.50412389421876,20.59293101422964,3.2881083372995894,0.357827825526843,0.13103479482499436,110,0
District_12,River_2,Monsoon,103.36543912235636,22.44237744574147,6.650463554034934,0.7007771887625509,0.6717447929162917,117,0
District_6,River_4,Monsoon,109.92851269183052,32.73535479321258,-0.43502117378863225,0.6860711712694103,0.3400100937226316,316,0
District_2,River_1,Summer,113.18272239492524,20.420969087474212,7.04049330958285,0.5746546549402163,0.3010826838523659,356,0
